GENE	SAMPLE	Observed_synonymous	Estimated_synonymous
FGFR3	P19_0023_BTR_01	0.0	1.587040374911258
FGFR3	P19_0024_BDO_01	1.0	0.6729142815843109
FGFR3	P19_0024_BTR_01	0.0	0.7743940311914876
FGFR3	P19_0025_BDO_01	1.0	0.2628735740776541
FGFR3	P19_0025_BTR_01	1.0	0.4899299315843646
FGFR3	P19_0026_BDO_01	2.0	0.8049904699002958
FGFR3	P19_0026_BTR_01	0.0	0.5809037886032659
FGFR3	P19_0027_BTR_01	0.0	0.2972745166052618
FGFR3	P19_0028_BDO_01	1.0	1.892451504641393
FGFR3	P19_0028_BTR_01	1.0	1.294587472539794
FGFR3	P19_0029_BDO_01	2.0	0.4408088847352569
FGFR3	P19_0029_BTR_01	2.0	1.2693689863923907
FGFR3	P19_0030_BTR_01	0.0	0.1898739741044101
FGFR3	P19_0031_BTR_01	0.0	1.308810598001689
FGFR3	P19_0033_BDO_01	1.0	0.2923293601454525
FGFR3	P19_0033_BTR_01	1.0	0.3919251948782684
FGFR3	P19_0034_BDO_01	3.0	0.6768087692670102
FGFR3	P19_0034_BTR_01	4.0	0.9791854215070136
FGFR3	P19_0035_BDO_01	1.0	1.2958753542018029
FGFR3	P19_0036_BTR_01	0.0	0.0956656959725982
FGFR3	P19_0038_BDO_01	2.0	1.3354334700345571
FGFR3	P19_0039_BTR_01	1.0	0.8492486836850482
FGFR3	P19_0040_BDO_01	1.0	0.8897245544931952
FGFR3	P19_0040_BTR_01	1.0	0.2705537257503607
FGFR3	P19_0041_BDO_01	0.0	0.398402347672225
FGFR3	P19_0041_BTR_01	1.0	0.8339333657482152
FGFR3	P19_0042_BDO_01	0.0	2.804646458430764
FGFR3	P19_0042_BTR_01	2.0	1.3713125913110886
FGFR3	P19_0043_BTR_01	1.0	1.2306239193337665
FGFR3	P19_0045_BDO_01	1.0	0.260607189553762
FGFR3	P19_0045_BTR_01	0.0	0.1770274914180563
FGFR3	P19_0046_BDO_01	2.0	1.887448127172218
FGFR3	P19_0046_BTR_01	2.0	0.7377776245786644
FGFR3	P19_0047_BDO_01	1.0	0.8729864093341813
FGFR3	P19_0047_BTR_01	0.0	0.3643191065446703
FGFR3	P19_0048_BTR_01	0.0	1.679496263935836
FGFR3	P19_0050_BDO_01	1.0	0.5113923073197618
FGFR3	P19_0050_BTR_01	6.0	0.7863721237176594
FGFR3	P19_0051_BDO_01	0.0	0.3400029573033297
FGFR3	P19_0051_BTR_01	0.0	0.4197201510613985
FGFR3	P19_0052_BDO_01	0.0	0.1138637297497833
FGFR3	P19_0052_BTR_01	0.0	0.1833945927056337
FGFR3	P19_0053_BDO_01	0.0	0.4824533351553483
FGFR3	P19_0053_BTR_01	0.0	0.3732866902592568
FGFR3	SexF	29.0	24.299817781662167
FGFR3	SexM	43.0	47.7411499192228
FGFR3	all_samples	72.0	72.0
FOXQ1	BladderlocationDome	69.0	49.45505443369403
FOXQ1	BladderlocationDome_SexF	15.0	14.521179164340111
FOXQ1	BladderlocationDome_SexM	54.0	35.226608515589305
FOXQ1	BladderlocationTrigone	61.0	80.94727120558412
